modern,original
"My dear Caius , I'll explain the task at hand to you as we walk toward the man we must do it to .","What it is , my Caius , I shall unfold to thee as we are going To whom it must be done ."
Who treated you badly ?,Who does do you wrong ?
The clock has chimed midnight .,The iron tongue of midnight hath told twelve .
Caesar and Lepidus declared war against Pompey .,Caesar and Lepidus have made wars upon Pompey .
which any peace-lover can do .,Wherein the toged consuls can propose As masterly as he .
It's gone .,It is gone .
Separate me from life with your sharp teeth .,"Come , thou mortal wretch , With thy sharp teeth this knot intrinsicate Of life at once untie ."
"Follow them , please .","Follow , I pray you ."
"I'm a nobleman , and I know what I'm doing in assigning this job to you .","I am a gentleman of blood and breeding , And from some knowledge and assurance offer This office to you ."
"Sadly , it's the king that's missing .","Alack , 'tis he ."
"Is it not enough , is it not enough , young man , that I'll never be pretty enough to get a kind look from Demetrius ?","Is 't not enough , is 't not enough , young man , That I did never , no , nor never can , Deserve a sweet look from Demetrius ' eye , But you must flout my insufficiency ?"
"Not one , my lord .","Not one , my lord ."
"Do this immediately , and send him packing .","Do this expediently , and turn him going ."
I'll pull on these smaller legs .,I'll pull thee by the lesser legs .
That's a nice hand you dealt me .,Thou shalt not be the worse for me : there's gold .
curse that heart that makes my heart groan,beshrew that heart that makes my heart to groan
He's arrived .,He is arrived .
I'm killing myself with this provocative speculation.. .,Now I feed myself With most delicious poison .
You are all most welcome here ; please make yourselves at home .,"You are passing welcome , And so I pray you all to think yourselves ."
"Excuse me , sir , do you know anything about this ?","Pray you , sir , do you know of this matter ?"
I'm smart enough to find the logs myself without bothering Peter .,"I have a head , sir , that will find out logs , And never trouble Peter for the matter ."
Let me be put to death .,Let me be put to death .
"For himself to ruin , "" he says .","For himself to mar , "" quoth he ?"
although by itself it only lives and dies,though to it self it only live and die
"Now he denies it a bit , and tries to laugh it off .","Now he denies it faintly , and laughs it out ."
They are harder than the stones the house is made of .,"Repose you there , while I to this hard house , More harder than the stones whereof 'tis raised , Which even but now , demanding after you , Denied me to come in , return , and force Their scanted courtesy ."
"Come , Katherine Queen of All , reveal your heart to me in broken English .","Therefore , queen of all , Katherine , break thy mind to me in broken English ."
"Sir and madam , to make grand speeches about what majesty is , what service is , or why day is day , night is night , and time is time is just a waste of a lot of day , night , and time .","My liege and madam , to expostulate What majesty should be , what duty is , Why day is day , night night , and time is time , Were nothing but to waste night , day , and time ."
"Whore , your lover's dead now , and you'll be going to hell soon .","Minion , your dear lies dead , And your unblest fate hies ."
"Well , sir , it's true it came soon after .","Indeed , my lord , it followed hard upon ."
"The Prince has made the match , and may God bless it .","His grace hath made the match , and all grace say ""Amen"" to it ."
"And what about him , Tranio ?","And what of him , Tranio ?"
Love ?,Love ?
And I have met a gentleman who promises to help me find a good music tutor to instruct our lady love .,"And I have met a gentleman Hath promised me to help me to another , A fine musician to instruct our mistress ."
But fathers who are rich Make their children kind .,But fathers that bear bags Shall see their children kind .
"No , good goose , don't bite me .","Nay , good goose , bite not ."
That's a good one .,"Oh , excellent !"
"My niece , you are welcome here as if you were my own daughter .","O my dear niece , welcome thou art to me , Even daughter , welcome in no less degree ."
my love is stronger although it seems weaker,my love is strengthened though more weak in seeming
Get somebody strong to carry him out of here .,Some good man bear him carefully from hence .
"When devoutly religious men are praying , it's hard to draw them out of it , because they get lost in the wonder of their contemplation .","When holy and devout religious men Are at their beads , 'tis much to draw them thence , So sweet is zealous contemplation ."
A good laugh .,A laughter .
"No , I know that you're Signior Lucentio .","Yes , I know thee to be Signior Lucentio ."
"Isn't he the one who's always , "" and so on .","Addicted so and so. , "" And there put on him What forgeries you please ."
"I think it was a year ago that I told you how much Margaret , Hero's servant woman , likes me .","I think I told your lordship a year since how much I am in the favor of Margaret , the waiting gentlewoman to Hero ."
when i have seen the hungry ocean gain,when i have seen the hungry ocean gain
"You and your fellow spirits did your last assignment well , and now I need your help again .","Thou and thy meaner fellows your last service Did worthily perform , and I must use you In such another trick ."
why did you promise such a beautiful day,why didst thou promise such a beauteous day
Then hurry up and tell me what you want .,Then say at once what is it thou requests .
It's easy to get Desdemona on your side .,For 'tis most easy Th ' inclining Desdemona to subdue In any honest suit .
God will take revenge .,"God will revenge it , whom I will importune With earnest prayers , all to that effect ."
What's all that shouting about ?,What noise ?
"I'm ready now to hear what my good cousin the Dauphin has to say , for I hear that the greeting you bear is from him , not the king .","Now are we well prepared to know the pleasure Of our fair cousin Dauphin , for we hear Your greeting is from him , not from the king ."
This is all quite pleasant .,"Marry , I fare well , For here is cheer enough ."
"Your wife , sir , your wife .","Your lady , sir , your lady ."
my noble soul to be betrayed by my lowly body,my nobler part to my gross body's treason
I'm the one who fathered those bloodsucking daughters .,Twas this flesh begot Those pelican daughters .
Why should we do this ?,What shall become of this ?
She would have died later anyway .,She should have died hereafter .
"She sees you with the eyes my daughter lent her , it's true .",That eye my daughter lent her ; 'tis most true .
